dogName, count
KETA,3
KHLOE,3
KIRBY,3
KIWI,3
KNIK,3
KODI,3
KOKO,3
KOTA,3
KOVU,3
KRAMER,3
KRATOS,3
LADY BUG,3
LARRY,3
LEILA,3
LEXUS,3
LIAM,3
LIBBY,3
LINCOLN,3
LINK,3
LITTLE GUY,3
LUCA,3
MABEL,3
MAE,3
MAGPIE,3
MAISIE,3
MALI,3
MAPLE,3
MARLEE,3
MAVERICK,3
MAXWELL,3
MICK,3
MIKE,3
MIKEY,3
MILA,3
MILES,3
MILEY,3
MILLY,3
MINDI,3
MINION,3
MJ,3
MORGAN,3
MUFFIN,3
MURRAY,3
NACHO,3
NADIA,3
NELCHINA,3
NEO,3
NICKI,3
NIKE,3
NOODLE,3
NUKA,3
NUKKA,3
OBI,3
OLIE,3
OLLY,3
OLY,3
ORION,3
OZZIE,3
PARIS,3
PATTON,3
PAXSON,3
PICKLE,3
PILOT,3
PIXEL,3
POGO,3
POLAR BEAR,3
PUCK,3
PUPPY,3
QUEEN,3
RAGNAR,3
RASTA,3
REBA,3
REMUS,3
RENO,3
RICKY,3
RIGBY,3
ROCKET,3
ROCKO,3
ROMAN,3
RONAN,3
RUE,3
RUSSELL,3
RYLIE,3
SABBATH,3
SAGE,3
SAILOR,3
SAMMIE,3
SARA,3
SEBASTIAN,3
SHADY,3
SHAE,3
SHANE,3
SKIFF,3
SKIPPER,3
SKYLAR,3
SNOW,3
SOX,3
SPICE,3
SPOCK,3
SPOT,3
SPROCKET,3
STEVE,3
SUKA,3
TAYLOR,3
TESLA,3
TIGGER,3
TIKAANI,3
TINA,3
TIPPY,3
TONKS,3
TOTO,3
TRINITY,3
TROUBLE,3
TRUDY,3
TURBO,3
TUULI,3
WILEY,3
WILSON,3
WINCHESTER,3
WINTER,3
WOODY,3
YOSHI,3
ZEEK,3
ZENA,3
MAY,2
WEDNESDAY,2
ABE,2
AGNES,2
AJ,2
ALEXIS,2
ALLIE GIRL,2
ALVIN,2
AMERICA,2
AMMO,2
AMY,2
ANAKIN,2
ANGIE,2
ANIAK,2
ANNI,2
APU,2
ARIEL,2
ARIES,2
ARMANI,2
ARTHUR,2
ARYA,2
ASHA,2
ASTRO,2
ATREYU,2
ATTICUS,2
AUGIE,2
AXL,2
BADGER,2
BAILEE,2
BALOO,2
BALTO,2
BAMBI,2
BARNEY,2
BEAMER,2
BEANIE,2
BEANS,2
BEAST,2
BEAUFORT,2
BELL,2
BEORN,2
BERGERON,2
BERNADETTE,2
BETTY BOOP,2
BIG MAC,2
BIGGS,2
BILLY,2
BING,2
BISCUIT,2
BJORN,2
BLACK JACK,2
BLACKIE,2
BLESSING,2
BLITZ,2
BLOSSOM,2
BLU,2
BODE,2
BODIE,2
BOMBER,2
BONES,2
BOOGER,2
BOOGIE,2
BOSCO,2
BOSSY,2
BOSTON,2
BOZER,2
BRANDI,2
BRAUTWURST,2
BREEZE,2
BREWSKI,2
BRIAN,2
BRIE,2
BRIO,2
BROCK,2
BROOK,2
BUDDIE,2
BUG,2
BURBERRY,2
BURTON,2
BUSHIDO,2
BUTTERCUP,2
BUTTONS,2
CAMI,2
CARAMEL,2
CARRIE,2
CASPIAN,2
CASSIDY,2
CECE,2
CECIL,2
CHACO,2
CHAPO,2
CHARLI,2
CHEWBACCA,2
CHIBI,2
CHIQUITA,2
CHOPPER,2
CHUCHO,2
CLAIRE,2
CLEOPATRA,2
CLIFFORD,2
COCHISE,2
CONNOR,2
CORDELIA,2
COTTON,2
CROSBY,2
CRUZ,2
CUDDLES,2
CUJO,2
CUPCAKE,2
D.O.G.,2
DAGAN,2
DAISY DUKE,2
DAISY MAY,2
DANGER,2
DANNY,2
DARLA,2
DEBO,2
DECLAN,2
DEEDEE,2
DEISEL,2
DEL,2
DELTA,2
DESTINY,2
DEWEY,2
DHARMA,2
DIVER,2
DIZZY,2
DJANGO,2
DODGER,2
DOJA,2
DOMINO,2
DOOBEY,2
DOODLE,2
DOOLEY,2
DORI,2
DRAGON,2
DUALLY,2
DUBLIN,2
DUCHESS,2
DUDLEY,2
DUFFY,2
DUGAN,2
DYNA,2
EARL,2
EDWARD,2
EINSTEIN,2
ELE ELE,2
ELIAS,2
ELIOT,2
EMBER,2
ERIS,2
ERNIE,2
FALCO,2
FENWAY,2
FERN,2
FISHER,2
FLETCHER,2
FLEURY,2
FLIP,2
FLOPPY,2
FLOWER,2
FLOYD,2
FLUFFY,2
GABY,2
GAGE,2
GEMINI,2
GEORGIA,2
GIBBS,2
GIDEON,2
GIMLI,2
GOOMBA,2
GOTTI,2
GRIZZ,2
GROMIT,2
GUINESS,2
GUMBO,2
GUNNAR,2
GUSTAVO,2
HAKU,2
HALO,2
HANNIBAL,2
HAROLD,2
HARPER,2
HARRY POTTER,2
HAWKEYE,2
HECTOR,2
HEFF,2
HENDRIX,2
HERBIE,2
HERO,2
HONDO,2
HOOCH,2
HUCKLEBERRY,2
HUDSON,2
HUGO,2
HUNNY,2
ICHIGO,2
IKE,2
INNOKO,2
ISABEL,2
ISABELLE,2
ISADORA,2
IZABEL,2
JADEN,2
JAEGER,2
JANE,2
JANGO,2
JAXX,2
JAY JAY,2
JD,2
JEB,2
JEEP,2
JELLY BEAN,2
JET,2
JETT,2
JEZEBEL,2
JILL,2
JINGLE,2
JOANIE,2
JODIE,2
JOHNNY,2
JOJO,2
JOLIE,2
JONAH,2
JORDAN,2
JOSEPHINE,2
JUBILEE,2
JUDGE,2
JUNE BUG,2
KAIBAB,2
KANANI,2
KANGA,2
KANYE,2
KASH,2
KASHI,2
KATY,2
KAYLA,2
KEELY,2
KEETA,2
KELLY,2
KENZI,2
KENZIE,2
KIA,2
KIARA,2
KIEFER,2
KIJIK,2
KILLER,2
KILLIAN,2
KINGSTON,2
KIP,2
KIPPER,2
KISSER,2
KIT,2
KITTY,2
KIVI,2
KIYAH,2
KNUCKLES,2
KOBA,2
KODAK,2
KODIE,2
KOKOA,2
KRYSTAL,2
KUKUI,2
KUMA,2
LACI,2
LACY,2
LAMBEAU,2
LANA,2
LANI,2
LARA,2
LATTE,2
LB,2
LEAH,2
LEDA,2
LEONIDAS,2
LEROY,2
LEVI,2
LILA,2
LINUS,2
LITTLE BIT,2
LITTLE GIRL,2
LIZARD,2
LOUIS,2
LUCAS,2
LUCY LU,2
LUKA,2
LUMI,2
LUPA,2
MAIZEY,2
MAJOR,2
MALIBU,2
MARCO,2
MARCUS,2
MARIA,2
MARIAH,2
MARIO,2
MARSHALL,2
MARTY,2
MAUI,2
MAVIS,2
MAXX,2
MCGEE,2
MEEKO,2
MELISSA,2
MELODY,2
MERCEDES,2
MERCY,2
MERLE,2
MIKA,2
MINER,2
MINI COOPER,2
MINKA,2
MIRA,2
MOBY,2
MONGO,2
MONTE,2
MONTY,2
MOO,2
MURPH,2
MUSHU,2
NAPOLEON,2
NEKO,2
NELLY,2
NICO,2
NIKA,2
NIKISKI,2
NIKITA,2
NIKKO,2
NIKOLAI,2
NILES,2
NOAH,2
NOODLES,2
NORA,2
NORM,2
NORTH,2
NYLA,2
OBIWAN,2
OMAR,2
ORCA,2
ORVIS,2
OSA,2
OSO,2
OSWIN,2
OTTER,2
PALIN,2
PALMER,2
PAPA,2
PATIENCE,2
PATSY,2
PAX,2
PAYTON,2
PEGGY,2
PENNY LANE,2
PEPITO,2
PERRY,2
PETRA,2
PIE,2
PIKA,2
PIKACHU,2
PIPPEN,2
PIPPI,2
PIPPY,2
PITA,2
POCKET,2
POLARIS,2
POOH BEAR,2
POOKIE,2
POTTER,2
PRISCILLA,2
PRUDHOE,2
PUDDIN,2
RALEIGH,2
RALPH,2
RAMONA,2
RAMSEY,2
RED DOG,2
REKA,2
REMMY,2
RHEA,2
RICHTER,2
RIVERS,2
ROBBIE,2
ROBBY,2
ROCKEY,2
ROHN,2
ROLLY,2
ROMA,2
ROME,2
ROSEMARY,2
ROSY,2
ROVER,2
ROXANNE,2
RYKER,2
SAKARI,2
SALCHA,2
SALTY,2
SAMI,2
SAMMI,2
SAVANNAH,2
SCAMP,2
SCARLET,2
SCHOONER,2
SEDONA,2
SEQUOIA,2
SHAGGY,2
SHAKESPEARE,2
SHASTA,2
SHAYLA,2
SHEA,2
SHEEBA,2
SHEENA,2
SHERLOCK,2
SHORTY,2
SHREDDER,2
SID,2
SIPSEY,2
SIRI,2
SISCO,2
SITA,2
SKEETER,2
SLATER,2
SMEAGLE,2
SNOOP,2
SNOWY,2
SOLDIER,2
SOLSTICE,2
SPANKY,2
SPEC,2
SPEEDY,2
SPIRIT,2
SPOOK,2
SPRING,2
SPRINKLES,2
SPUR,2
SQUIRREL,2
STARSKY,2
STUBBY,2
SUSITNA,2
SUZIE,2
SWEETIE,2
TACO,2
TALI,2
TANGO,2
TANNER,2
TATER,2
TATER TOT,2
TAZER,2
TED,2
TEX,2
THEODORE,2
THUMPER,2
THUNDER,2
TIKI,2
TIKKA,2
TILLIE,2
TITO,2
TIVA,2
TOBEY,2
TOBI,2
TOBIAS,2
TOBIE,2
TOBLERONE,2
TOGO,2
TOMMY,2
TONTO,2
TOSCA,2
TREY,2
TRITON,2
TRON,2
TROUT,2
TSUNAMI,2
TT,2
TUG,2
TULA,2
TUT,2
TWIGGY,2
TWINKIE,2
TYRONE,2
VADER,2
VINNIE,2
WALTER,2
WESLEY,2
WHISKEY,2
WHISPER,2
WICKET,2
WIGGLES,2
WILLIS,2
WILMA,2
WIZARD,2
XANDER,2
YAGER,2
YOGI,2
YONA,2
ZACK,2
ZANDER,2
ZEVA,2
ZIPPO,2
ZOOM,2
ZORA,2
ZORO,2
JULY,1
AUGUST,1
FRIDAY,1
3 OF HEARTS,1
68 WHISKEY,1
AASA,1
ABBI,1
ABEL,1
ABERLOUR,1
ABI,1
ABIGALE,1
ABLE,1
ABNER,1
ACER,1
ACHILLES,1
ADA,1
ADAM,1
ADDIE MAE,1
ADDY,1
ADELAIDE,1
ADELE,1
ADELYN,1
ADOBE,1
ADRIAN,1
AEON,1
AGLU,1
AHSOKA,1
AIKO,1
AIMIE,1
AIOFA,1
AIYANA,1
AJAXX,1
AK,1
AKASHA,1
AKEELA,1
AKI,1
AKILA,1
AKITO,1
AKUTAN,1
AL CAPONE,1
ALAKANUK,1
ALARIC,1
ALASKA,1
ALBUS,1
ALEUTIA,1
ALEX BARRY,1
ALEXXEE,1
ALEYESKA,1
ALF,1
ALFIE,1
ALI BABA,1
ALIANA,1
ALICA,1
A-LIEN,1
ALIY,1
ALLEY,1
ALLI,1
ALLY,1
ALLY MAY,1
ALMOND ROCA,1
ALPHA,1
ALPINE,1
ALTA,1
ALY,1
AMADEUS,1
AMAK,1
AMBERLYN,1
AMBUSH,1
AMEER,1
AMELIA,1
AMELIA GREEN,1
AMICO,1
AMIR,1
AMIRA,1
AMOS,1
ANCHOR,1
ANDRE,1
ANGEL LOLA,1
ANGELINA,1
ANIA,1
ANIOT,1
ANNABELL,1
ANNABELLA,1
ANNABELLA  E,1
ANNABELLE,1
ANNAPURNA,1
ANNIE BELLE,1
ANOWIK,1
ANTHONY CRIT,1
ANUBIS,1
ANYA,1
APHRODITE,1
APPA,1
APPLE,1
ARBELL,1
ARCHER,1
ARCHIE E.,1
ARCTIC,1
AREC,1
ARETE,1
AREZ,1
ARGOS,1
ARGUS,1
ARHI,1
ARI,1
ARIE,1
ARISTOTLE,1
ARIYANA,1
ARLIE,1
ARLOE,1
ARNIE,1
ARNOLD,1
ARORA,1
ARTEMIS,1
ARTY,1
ARWEN,1
ARWYN,1
ARY,1
ASHE,1
ASHLEIGH,1
ASOKA,1
ASTA,1
ASTRID,1
ATL,1
ATLANTA,1
ATOS,1
ATTIE,1
ATTLA,1
AUDI MURPHEY,1
AUGUSTUS,1
AURELIA,1
AURI,1
AUSSIE,1
AUSTRINGER,1
AUXEN,1
AVALANCHE,1
AXTON,1
AY JAY,1
AYA,1
AZULZ,1
BAAN,1
BABY BOY,1
BABY BYE BYE,1
BABY DOG,1
BABYGIRL,1
BACCARDI,1
BACCHUS,1
BAE,1
BAGGER,1
BAGHEERA,1
BAILEY BEAR,1
BAILEY BOB,1
BAILEYS,1
BAILY,1
BAIYA,1
BALI,1
BALOU,1
BAMBOO,1
BANDIDO,1
BANDO,1
BANE,1
BANKS,1
BANNER,1
BANSHEE,1
BARA,1
BARBOS,1
BARCLAY,1
BARDOT,1
BARLOW,1
BARNABAS,1
BARONESS,1
BARRACUDA,1
BARRETT,1
BARRY 2,1
BARTHOLOMEW,1
BARTLETT,1
BAS,1
BASIL,1
BAUBINO,1
BAYA,1
BAYLA,1
BAYWOLF,1
BEANSIDHE,1
BEAR BAIT,1
BEARCOOT,1
BEASLEY,1
BEASTIE,1
BEAUTI,1
BEBA,1
BECKER,1
BECKHAM,1
BEE,1
BEEF,1
BEETHOVEN,1
BEEVIE,1
BEHR,1
BELIEVER,1
BELLA (RUBY),1
BELLA STAR,1
BELLATRIX,1
BELLE VOM CI,1
BELUGA,1
BELVEDERE,1
BENAIR,1
BENDER,1
BENITO,1
BENTLY,1
BEOWULF,1
BERAND,1
BERNOULLI,1
BERTIE,1
BERTUZZI,1
BESS,1
BESSIE,1
BESTE,1
BETA,1
BETTLES,1
BEYLA,1
B'GOSH,1
BHELIN,1
BIBI,1
BIESEN,1
BIG BABY,1
BIG BEN,1
BIG BOI,1
BIGGIE SMALL,1
BILL,1
BILLIE GOAT,1
BILLIETHEKID,1
BINDI,1
BINGLEY,1
BINO,1
BINX,1
BIRCH,1
BIRDIE BOO,1
BIRDY,1
BISCOTTI,1
BISHOP,1
BISKET,1
BITSY,1
BITTY,1
BITZER,1
BITZY,1
BIXBY,1
BLACKJACK,1
BLAKE,1
BLEU,1
BLING,1
BLISS,1
BLONDIE,1
BLOUIS,1
BLUE BELL,1
BLUEBERRY,1
BOAZ,1
BOBA,1
BOBOI,1
BOCEPHUS,1
BODACIOUS,1
BODEE,1
BODI,1
BOGZ,1
BOLO,1
BOND,1
BONDI,1
BONNIE BLUE,1
BONNIE JADE,1
BONNY,1
BOO BEAR,1
BOO BOO,1
BOO ENZO,1
BOOBOO,1
BOODLES,1
BOOMBOOM,1
BOOSIE,1
BOOTSIE,1
BORA,1
BORIA,1
BOSSK,1
BOUNCE,1
BOW,1
BOW WOW,1
BOWEE,1
BOWEN,1
BOWMORE,1
BOY,1
BOYD,1
BRADDAH,1
BRADDOCK,1
BRADLEY,1
BRAM,1
BRAMI,1
BRANDILYNN,1
BRANDO,1
BRANDY 2,1
BRASH,1
BREAUX,1
BRECK,1
BREEZI,1
BRENDELIS,1
BRENIN,1
BRENNA,1
BRENNER,1
BREW,1
BREWTUS,1
BRIA,1
BRIANA,1
BRIDGER,1
BRIDGET,1
BRIDGETTE,1
BRIGGS,1
BRIIZY,1
BRIN,1
BRISA,1
BRODDI,1
CACHE,1
BRODY DUNCAN,1
BROGAN,1
BROM,1
BRONIUS,1
BRONX,1
BROOKE,1
BROOKLYN,1
BROOSTER,1
BROSEPH,1
BROWN DAWG,1
BROXY,1
BRUCE LEE,1
BRUCE WAYNE,1
BRUIN,1
BRUISER,1
BRUNDI,1
BRUNOSTEN,1
BRUSCHI,1
BRUSH,1
BRUZER,1
BRYCE,1
BRYN,1
BUBA,1
BUBBAS,1
BUBBLEGUM,1
BUBBLES,1
BUBBLEZ,1
BUBU,1
BUCKET,1
BUCKLEY,1
BUCKSHOT,1
BUDA,1
BUDDHA,1
BUDDI,1
BUDDY HOLLY,1
BUDSY,1
BUGATAMUS,1
BUGATTI,1
BUGS,1
BUGSY,1
BUKUM,1
BULLITT,1
BULLSEYE,1
BUNKIE,1
BUNTA,1
BURKE,1
BURLY,1
BURNER,1
BUSHWA,1
BUSTER BROWN,1
BUSTER SHARP,1
BUTKUS,1
BUTLER,1
BUTTERSCOTCH,1
BUTTON,1
BUXTON,1
BYRON,1
C STREET,1
C.B.,1
C.C.,1
CABA,1
CADEN,1
CAESER,1
CAICOS,1
CAIN,1
CAITE BEL,1
CALAMITY,1
CALEB,1
CALI ANNE,1
CALIPER,1
CALLAHAN,1
CALLAWAY,1
CALLI,1
CALLIE MAE,1
CALLIE ROSE,1
CALLY,1
CALYPSO,1
C'AMAI,1
CAMBERLYNN,1
CAMDEN,1
CAMERON,1
CAMILLE,1
CANISA,1
CAPOTE,1
CAPPIE,1
CAPPY,1
CAPTAIN REX,1
CARA,1
CARAH,1
CARDI,1
CARL,1
CARLIE,1
CARLY,1
CARM,1
CAROL ANN,1
CARSON,1
CASCADE,1
CASIE,1
CASSIE JO,1
CASSIE SUE,1
CASSINI,1
CAT,1
CATCHER,1
CAYMAN,1
CEASER,1
CECI,1
CECILIA,1
CEECEE,1
CELE,1
CELIA CRUZ,1
CELIE,1
CELLI,1
CELLO,1
CENA,1
CET,1
CEZAR,1
CHACHA,1
CHACHII,1
CHAHTA,1
CHAKA,1
CHAKO,1
CHAMOIS,1
CHAMPAGNE,1
CHANCEY,1
CHARGER,1
CHARLAMAGNE,1
CHARLEE,1
CHARLI BEA,1
CHARLIE GIRL,1
CHARLY,1
CHARMIN,1
CHAUNCEY,1
CHAY,1
CHAZ,1
CHAZZ,1
CHEEBA,1
CHEECHAKO,1
CHEEKY,1
CHEENA,1
CHEIF,1
CHELIOS,1
CHELSEA,1
CHENA ROSE,1
CHESSIE,1
CHEWAWA,1
CHEWEE,1
CHEWIE BEE,1
CHIANA,1
CHICHI,1
CHICKADEE,1
CHICORY,1
CHIKA,1
CHILE,1
CHILIE,1
CHINA,1
CHING CHING,1
CHINOBI,1
CHIO,1
CHIPS,1
CHIQUITO,1
CHITU,1
CHIYO,1
CHOCCO,1
CHOCOLATE,1
CHOLLA,1
CHOLO,1
CHOMP JR,1
CHOMPSKY,1
CHOO,1
CHRISSY,1
